# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QChildActionGroup.cpp,C++,86,75,0,11,2.58 KB,87.21%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QChildActionGroup.h,C/C++ Header,30,26,0,4,714.00 B,86.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qcptooltip.cpp,C++,222,180,6,36,8.13 KB,81.08%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qcptooltip.h,C/C++ Header,57,43,0,14,1.71 KB,75.44%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qcustomtabstyle.cpp,C++,57,50,0,7,1.63 KB,87.72%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qcustomtabstyle.h,C/C++ Header,15,12,0,3,460.00 B,80.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDBInfoWidget.cpp,C++,62,53,0,9,1.39 KB,85.48%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDBInfoWidget.h,C/C++ Header,36,24,1,11,714.00 B,66.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qdddatawidget.cpp,C++,5,078,4,589,114,375,167.91 KB,90.37%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qdddatawidget.h,C/C++ Header,109,88,1,20,2.98 KB,80.73%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDDWidget.cpp,C++,2,826,2,180,342,304,101.30 KB,77.14%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDDWidget.h,C/C++ Header,171,130,15,26,4.65 KB,76.02%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDevStatusWidget.cpp,C++,41,35,0,6,1.20 KB,85.37%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDevStatusWidget.h,C/C++ Header,31,24,0,7,593.00 B,77.42%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDiagnosisDataWidget.cpp,C++,807,717,50,40,29.11 KB,88.85%
